	Price	City	Year	Mileage	Engine Size	Make	Model	Title	Neighborhood	Link
8	1900	newyork	1992	N/A	750	honda	cb750 nighthawk	1992 Honda CB750 Nighthawk	Upper West Side	https://newyork.craigslist.org/mnh/mcy/d/new-york-1992-honda-cb750-nighthawk/7081973878.html
27	1950	newyork	N/A	N/A	N/A	Suzuki		1975 suzuki ts 75 all original 235 miles	Glen rock	https://newyork.craigslist.org/jsy/mcy/d/glen-rock-1975-suzuki-ts-75-all/7080445482.html
93	1990	newyork	2013	1800	150	honda	pcx150	PCX 150 for sale	Astoria	https://newyork.craigslist.org/que/mcy/d/astoria-pcx-150-for-sale/7072751585.html
1	1999	newyork	N/A	N/A	N/A	lance	cali classic	Lance Cali Classic and Havana 50CC 125cc 200cc Scooters NEW 2020	Island Park	https://newyork.craigslist.org/lgi/mcd/d/island-park-lance-cali-classic-and/7082529622.html
36	1999	newyork	2015	0	N/A	Kawasaki	KX	2015 Kawasaki KX 65 Single-Cylinder 64 cc	Riverhead	https://newyork.craigslist.org/que/mcd/d/riverhead-2015-kawasaki-kx-65-single/7079685626.html
255	1999	newjersey	N/A	N/A	N/A	lance	cali classic	Lance Cali Classic and Havana 50CC 125cc 200cc Scooters NEW 2020	Island Park	https://newyork.craigslist.org/lgi/mcd/d/island-park-lance-cali-classic-and/7082529622.html
100	2000	newyork	2006	1345	125	Yamaha		Yamaha 125cc Black vino Scotter	Harlem / Morningside	https://newyork.craigslist.org/mnh/mcy/d/new-york-yamaha-125cc-black-vino-scotter/7071863138.html
197	2000	newjersey	2006	33000	150	Vespa	LXV	06' Vespa	N/A	https://newjersey.craigslist.org/mcy/d/leonia-06-vespa/7076545283.html
24	2000	newyork	2015	7000	155	yamaha	smax	2015 Yamaha Smax	New York	https://newyork.craigslist.org/wch/mcy/d/peekskill-2015-yamaha-smax/7080552433.html
187	2000	newjersey	2016	0	250	hyosung	aquila	"2016 Aquila GV-250 ""Brand New & IN STOCK"""	FLYKITTY MOTORSPORTS.COM	https://newjersey.craigslist.org/mcd/d/monticello-2016-aquila-gv-250-brand-new/7078899262.html
